file_name,FailureClassedAsError,ScriptError,BuildDepError,TravisError,TimeExceeded,NotPythonLang,LogNotFound,NoFailDetected
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509089184.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509089185.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509089201.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509089202.txt,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509095693.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509095700.txt,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509103959.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509103964.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509107982.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\509107988.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\518874706.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\518874707.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\aldro61_mmit\job_logs\518874708.txt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\andrew-houghton_moon-board-climbing\job_logs\201310069.txt,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0
C:\Users\dhiarzig\PycharmProjects\ML-CI\Project Stats Year\Applied\andrew-houghton_moon-board-climbing\job_logs\201310231.txt,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0
